route_id,service_id,trip_id
8167,1,8167_13_35
1261,1,1261_13_45
22511,1,22511_13_48
23021,1,23021_14_55
22511,1,22511_16_30
23021,1,23021_17_55
22511,1,22511_19_20
23021,1,23021_20_55
22511,1,22511_05_45
23021,1,23021_06_40
22511,1,22511_07_35
23021,1,23021_08_45
22511,1,22511_10_20
23021,1,23021_11_30
1272,1,1272_12_32
8565,1,8565_14_25
27310,1,27310_14_30
21270,1,21270_15_00
21273,1,21273_16_00
21270,1,21270_17_05
21273,1,21273_18_35
21270,1,21270_19_40
21273,1,21273_20_45
21270,1,21270_21_45
21273,1,21273_05_45
21270,1,21270_06_50
21273,1,21273_07_55
21270,1,21270_09_00
21273,1,21273_10_30
21270,1,21270_11_35
20129,1,20129_12_40
44291,1,44291_13_05
9077,1,9077_07_40
21528,1,21528_07_45
20683,1,20683_08_30
24902,1,24902_09_15
19414,1,19414_09_45
19412,1,19412_10_25
19414,1,19414_11_45
19412,1,19412_12_40
24463,1,24463_13_35
24902,1,24902_14_05
24463,1,24463_14_35
24902,1,24902_15_05
24463,1,24463_15_35
24902,1,24902_16_05
24463,1,24463_17_00
24902,1,24902_17_30
24463,1,24463_18_00
24902,1,24902_18_30
24463,1,24463_19_00
9078,1,9078_19_25
9077,1,9077_14_20
21241,1,21241_14_30
19806,1,19806_15_00
19805,1,19805_16_40
19806,1,19806_18_30
19805,1,19805_20_05
19806,1,19806_21_30
19805,1,19805_05_20
19806,1,19806_06_40
19805,1,19805_07_40
19806,1,19806_09_30
9823,1,9823_10_45
9078,1,9078_11_50
10386,1,10386_14_15
24194,1,24194_14_20
32660,1,32660_14_45
32661,1,32661_17_25
32660,1,32660_19_40
24245,1,24245_21_00
32660,1,32660_05_40
32661,1,32661_07_45
24335,1,24335_09_50
24336,1,24336_11_30
26821,1,26821_12_40
10387,1,10387_12_55
2144,1,2144_14_25
44398,1,44398_14_30
47722,1,47722_15_35
31135,1,31135_17_10
47722,1,47722_18_20
31135,1,31135_19_30
47722,1,47722_21_05
31135,1,31135_05_40
47722,1,47722_06_50
31135,1,31135_08_00
47722,1,47722_09_10
31135,1,31135_10_45
44397,1,44397_11_55
20021,1,20021_12_55
32965,1,32965_14_00
25827,1,25827_14_02
25826,1,25826_14_40
25825,1,25825_15_50
25826,1,25826_17_25
25825,1,25825_18_35
25826,1,25826_19_45
25825,1,25825_21_20
25826,1,25826_05_30
25825,1,25825_06_30
25826,1,25826_07_35
25825,1,25825_08_45
25826,1,25826_10_20
22041,1,22041_11_25
32966,1,32966_12_03
32965,1,32965_13_25
23021,1,23021_13_27
22511,1,22511_14_35
