stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_direction,stop_bearing
4498,SPGGT1,Sipgere Gate,12.822429,77.57711691,Kaggalipura,351.020
4499,BLWGT,Bilavaradahalli Cross,12.8224504,77.57206621,Bannerughatta,206.114
4500,KYSGT2,Kesaraguppe,12.81724836,77.56732078,Bannerughatta,239.302
4501,KYSGP,Kesaraguppe,12.81661863,77.56700568,Kaggalipura,208.654
4502,BTHLI2,Buthanahalli,12.80451605,77.56043875,Kaggalipura,234.184
4503,BTNHLI,Buthanahalli,12.80446813,77.56029872,Bannerughatta,225.925
4504,HKPKCR,Hakki Pikki Colony Cross (Towards Kaggalipura),12.80241987,77.55888405,Kaggalipura,248.133
4505,HKPK,Hakki Pikki Colony Bannerughatta,12.79826147,77.5581877,Hakki Pikki Colony Bannerughatta,311.545
4506,,Hakki pikki,12.79888008,77.55832559,,49.8139
4507,HKPKCR2,Hakki Pikki Colony Cross (Towards Bannerughatta),12.802445,77.55882834,Bannerughatta,249.602
4508,SYLDDI1,Shylendra Doddy,12.80117482,77.55338164,Bannerughatta,251.994
4509,SYDDI,Shylendra Doddy,12.80070642,77.55289122,Kaggalipura,246.702
4510,BTR,Byatarayana Doddy Cross (Towards Bannerughatta),12.80373297,77.54362458,Bannerughatta,7.78909
4511,BLMD,Byalamarana Doddy,12.80581607,77.54392325,Byatarayana Doddy Cross,53.7726
4512,SKMPHG,Seethakempanahalli Gate,13.17362007,77.52542227,Byatha,0.0
4513,SKMPHG1,Seethakempanahalli Gate,13.17368978,77.52543748,Rajanukunte,24.0
4514,STKMP1,Seethakempanahalli,13.17131825,77.5186781,Seethakempanahalli,0.0
4515,MTKR-2,Muthkur,13.15524536,77.50795658,Kalenahalli Gate,0.0
4516,MTKR-1,Muthkur,13.1554521,77.50806029,Linganahalli,216.199
4517,KLNHLG,Kalenahalli Gate,13.14897316,77.50502903,Mathkur,132.600
4518,KNM<LG,Kalenahalli Gate,13.14899651,77.50496679,Muthkur,203.100
4519,KLNH,Kalenahalli,13.14713436,77.51223276,Kalenahalli,0.0
4520,KLNMHB,Kalenahalli,13.14705336,77.51208811,Kalenahalli Gate,0.0
4521,SHVK,Shivakote,13.13392669,77.5146604,Ivarukandapura,0.0
4522,SHVKT,Shivakote Cross,13.13551929,77.51325576,Ivarukandapura,0.0
4523,SHIVKT1,Shivakote Cross,13.13554525,77.51331152,Shivakote,0.0
4524,MKTG,Muthkur Cross Shivakote,13.14316677,77.50236796,Shivakote,0.0
4525,SHIV1,Shivakote,13.13399999,77.51475239,Muthukadahalli,0.0
4526,IKDP1,Ivarukandapura,13.13763362,77.49443546,Shivakote,0.0
4527,HGT1,Hesaraghatta,13.13747067,77.48033686,Byatha,0.0
4528,HGV1,Hesaraghatta Village,13.13789191,77.47918382,Chikkabanavara,302.5
4529,PUS,Poultry Farm,13.14919134,77.47668686,Byatya,204.300
4530,PUS2,Poultry Farm,13.14925152,77.47650522,Kakolu,301.399
4531,NGS1,Nruthyagrama Gate,13.15420361,77.47292085,Nrutya Grama,31.6000
4532,NGS,Nruthyagrama Gate,13.15415325,77.47295942,Hesaraghatta,55.5999
4533,NRG,Nrithyagrama,13.16192651,77.45879533,Hesarughatta Village,183.0
4534,NRG1,Nruthyagrama,13.1620415,77.45881474,Hesaraghatta ID Form,317.0
4535,DHC1,Dasenahalli Cross,13.14088028,77.46511073,Gopalapura,255.199
4536,DNHC2,Dasenahalli Cross,13.14092079,77.46517747,Hesaraghatta,331.700
4537,GUHL,Guddadahalli,13.14131968,77.46222307,Gopalapura,13.8999
